word	prediction	label	freq	animacy	baseform	correct
primjer	2	2	19	inan	baseform	1
iznos	2	2	17	inan	baseform	1
slučaj	2	2	24	inan	baseform	1
protektorat	1	2	2	inan	baseform	0
uspon	2	2	3	inan	baseform	1
hotel	2	2	5	inan	baseform	1
park	2	2	4	inan	baseform	1
dječaka	2	2	4	anim	nonbase	1
parlament	2	2	27	inan	baseform	1
materijal	1	2	3	inan	baseform	0
način	2	2	116	inan	baseform	1
izvoz	2	2	11	inan	baseform	1
gradonačelnika	2	2	8	anim	nonbase	1
zamjenika	2	2	9	anim	nonbase	1
studio	2	2	13	inan	baseform	1
bod	1	2	3	inan	baseform	0
račun	2	2	9	inan	baseform	1
kolovoz	2	2	8	inan	baseform	1
trend	2	2	14	inan	baseform	1
uređaj	2	2	9	inan	baseform	1
euro	2	2	20	inan	baseform	1
projekt	2	2	49	inan	baseform	1
suficit	2	2	2	inan	baseform	1
postupak	2	2	19	inan	baseform	1
zid	2	2	7	inan	baseform	1
kredibilitet	2	2	3	inan	baseform	1
sekularizam	2	2	1	inan	baseform	1
ugled	2	2	13	inan	baseform	1
pristup	2	2	25	inan	baseform	1
kompleks	2	2	3	inan	baseform	1
čelnika	2	2	12	anim	nonbase	1
ribnjak	1	2	1	inan	baseform	0
vrtić	2	2	4	inan	baseform	1
operatera	1	2	2	inan	nonbase	0
sukob	2	2	10	inan	baseform	1
štrajk	2	2	2	inan	baseform	1
vitamin	2	2	4	inan	baseform	1
trud	2	2	1	inan	baseform	1
doručak	2	2	1	inan	baseform	1
skok	2	2	4	inan	baseform	1
posjet	2	2	15	inan	baseform	1
kafić	2	2	2	inan	baseform	1
porez	2	2	6	inan	baseform	1
epilog	2	2	2	inan	baseform	1
osumnjičenika	2	2	4	anim	nonbase	1
taksi	2	1	3	inan	baseform	0
neuspjeh	2	2	4	inan	baseform	1
suživot	2	2	2	inan	baseform	1
vođu	2	2	1	anim	nonbase	1
ubojicu	2	2	1	anim	nonbase	1
auditorij	2	2	1	inan	baseform	1
azil	2	2	12	inan	baseform	1
monopol	1	2	1	inan	baseform	0
aranžman	2	2	5	inan	baseform	1
lava	2	2	1	anim	nonbase	1
urednika	2	2	3	anim	nonbase	1
techno	1	2	1	inan	baseform	0
sloj	2	2	3	inan	baseform	1
osjećaj	2	2	8	inan	baseform	1
kolegu	2	2	2	anim	nonbase	1
oklopnjaka	2	2	1	inan	nonbase	1
nametnika	1	2	1	anim	nonbase	0
piksel	2	2	2	inan	baseform	1
moto	2	2	2	inan	baseform	1
kabel	2	2	1	inan	baseform	1
gumb	2	2	1	inan	baseform	1
godišnjaka	1	2	1	anim	nonbase	0
gospodara	2	2	2	anim	nonbase	1
okret	2	2	1	inan	baseform	1
sklop	2	2	2	inan	baseform	1
misterij	2	2	3	inan	baseform	1
ginekologa	2	2	1	anim	nonbase	1
pms	1	2	1	inan	baseform	0
držač	2	2	1	inan	baseform	1
portfolio	2	2	2	inan	baseform	1
redizajn	2	2	4	inan	baseform	1
šok	2	2	2	inan	baseform	1
asortiman	2	2	1	inan	baseform	1
oprez	2	2	1	inan	baseform	1
boom	2	2	1	inan	baseform	1
prijem	2	2	3	inan	baseform	1
savjet	2	2	3	inan	baseform	1
vikend	2	2	4	inan	baseform	1
ispraćaj	2	2	1	inan	baseform	1
playoff	2	2	1	inan	baseform	1
nanos	2	2	1	inan	baseform	1
hokej	2	2	1	inan	baseform	1
plato	1	2	1	inan	baseform	0
zlostavljača	2	2	1	anim	nonbase	1
fundamentalizam	2	2	1	inan	baseform	1
suca	1	2	2	anim	nonbase	0
dijamant	2	2	1	inan	baseform	1
intervju	2	2	2	inan	baseform	1
osvrt	2	2	1	inan	baseform	1
doseg	2	2	1	inan	baseform	1
blagoslov	1	2	1	inan	baseform	0
karneval	2	2	1	inan	baseform	1
