word	prediction	label	freq	animacy	baseform	correct
pokles	2	2	147	inan	baseform	1
pracovníci	2	2	202	anim	nonbase	1
podklady	2	2	40	inan	nonbase	1
režimu	0	2	132	inan	nonbase	0
poznatků	1	2	76	inan	nonbase	0
závazkem	0	2	10	inan	nonbase	0
dne	2	2	481	inan	nonbase	1
občanům	2	2	62	anim	nonbase	1
ha	0	2	25	inan	nonbase	0
průmyslu	0	2	229	inan	nonbase	0
nákladech	1	2	37	inan	nonbase	0
návrhy	2	2	145	inan	nonbase	1
prototypů	1	2	4	inan	nonbase	0
závazku	1	2	30	inan	nonbase	0
prospěchu	2	2	26	inan	nonbase	1
výběru	1	2	138	inan	nonbase	0
cíl	0	2	108	inan	baseform	0
adaptéru	1	2	1	inan	nonbase	0
stroje	2	2	132	inan	nonbase	1
posudky	0	2	8	inan	nonbase	0
soudruzi	2	2	20	anim	nonbase	1
uživateli	2	2	16	anim	nonbase	1
potoka	1	2	12	inan	nonbase	0
vedoucích	1	2	18	anim	nonbase	0
ředitelů	2	2	32	anim	nonbase	1
poslance	0	2	72	anim	nonbase	0
krajích	2	2	19	inan	nonbase	1
úvodem	0	2	10	inan	nonbase	0
um	2	2	6	inan	baseform	1
výbor	0	2	186	inan	baseform	0
členů	1	2	281	anim	nonbase	0
obědě	2	2	16	inan	nonbase	1
agronoma	2	2	1	anim	nonbase	1
říjen	2	2	23	inan	baseform	1
postihu	2	2	13	inan	nonbase	1
soubor	2	2	133	inan	baseform	1
přístavu	0	2	11	inan	nonbase	0
vlak	2	2	68	inan	baseform	1
ředitele	2	2	293	anim	nonbase	1
vozy	0	2	74	inan	nonbase	0
nedostatek	1	2	140	inan	baseform	0
orgánů	0	2	154	inan	nonbase	0
komunismu	0	2	56	inan	nonbase	0
názory	2	2	142	inan	nonbase	1
vojáky	2	2	54	anim	nonbase	1
organizátora	2	2	6	anim	nonbase	1
pomocníkem	2	2	7	anim	nonbase	1
výrazem	0	2	38	inan	nonbase	0
hrdinou	2	2	17	anim	nonbase	1
odborníci	2	2	115	anim	nonbase	1
telefonů	0	2	5	inan	nonbase	0
nádechu	1	2	1	inan	nonbase	0
pohyb	2	2	105	inan	baseform	1
sportů	2	2	12	inan	nonbase	1
spánku	2	2	40	inan	nonbase	1
cholesterol	2	2	3	inan	baseform	1
strach	1	2	103	inan	baseform	0
mozek	2	2	38	inan	baseform	1
věku	2	2	235	inan	nonbase	1
charakteru	2	2	98	inan	nonbase	1
rozsahem	2	2	11	inan	nonbase	1
směrem	2	2	179	inan	nonbase	1
pudr	2	2	8	inan	baseform	1
mráz	2	2	8	inan	baseform	1
póry	2	2	4	inan	nonbase	1
přípravek	2	2	5	inan	baseform	1
obkladem	2	2	3	inan	nonbase	1
příklady	0	2	56	inan	nonbase	0
projevy	0	2	76	inan	nonbase	0
muže	2	2	120	anim	nonbase	1
strupy	2	2	1	inan	nonbase	1
povrch	2	2	50	inan	baseform	1
přehled	1	2	104	inan	baseform	0
druh	2	2	129	inan	baseform	1
límec	2	2	4	inan	baseform	1
úpletů	1	2	1	inan	nonbase	0
plátku	2	2	2	inan	nonbase	1
salát	2	2	17	inan	baseform	1
nápoje	2	2	26	inan	nonbase	1
případ	2	2	249	inan	baseform	1
důvodu	2	2	130	inan	nonbase	1
příspěvků	1	2	33	inan	nonbase	0
řádků	2	2	5	inan	nonbase	1
sazeči	2	2	2	anim	nonbase	1
základů	1	2	29	inan	nonbase	0
šroubky	2	2	4	inan	nonbase	1
kroužkem	0	2	2	inan	nonbase	0
háčkem	0	2	1	inan	nonbase	0
regulátorem	2	2	3	inan	nonbase	1
budovatelů	1	2	2	anim	nonbase	0
úspěchu	2	2	86	inan	nonbase	1
zpěvu	1	2	19	inan	nonbase	0
průběh	1	2	149	inan	baseform	0
postihy	0	2	4	inan	nonbase	0
inspektoři	2	2	13	anim	nonbase	1
pacient	2	2	48	anim	baseform	1
následky	1	2	64	inan	nonbase	0
nástupem	1	2	19	inan	nonbase	0
rozdíly	0	2	144	inan	nonbase	0
pracovníkem	2	2	26	anim	nonbase	1
pracovníkovi	2	2	17	anim	nonbase	1
výdělek	0	2	25	inan	baseform	0
rozmachu	2	2	9	inan	nonbase	1
budovatel	2	2	1	anim	baseform	1
dneškem	0	2	3	inan	nonbase	0
litr	2	2	29	inan	nonbase	1
tabáku	1	2	11	inan	nonbase	0
muž	2	2	204	anim	baseform	1
příslušníkovi	2	2	1	anim	nonbase	1
autorů	1	2	78	anim	nonbase	0
rámec	0	2	44	inan	baseform	0
jednotlivcem	2	2	5	anim	nonbase	1
pohledu	0	2	107	inan	nonbase	0
vztahu	0	2	245	inan	nonbase	0
kapitálu	1	2	134	inan	nonbase	0
průzkumu	1	2	77	inan	nonbase	0
důsledku	1	2	171	inan	nonbase	0
osud	2	2	113	inan	baseform	1
předmět	2	2	52	inan	baseform	1
postupem	0	2	45	inan	nonbase	0
člověkem	2	2	31	anim	nonbase	1
ruchu	0	2	53	inan	nonbase	0
typem	2	2	25	inan	nonbase	1
závody	2	2	119	inan	nonbase	1
doklady	2	2	69	inan	nonbase	1
nápojů	2	2	32	inan	nonbase	1
příslušník	2	2	14	anim	baseform	1
vozíku	0	2	4	inan	nonbase	0
účastníkem	2	2	12	anim	nonbase	1
vozíky	0	2	5	inan	nonbase	0
účastníci	2	2	74	anim	nonbase	1
pruh	2	2	11	inan	baseform	1
proudy	2	2	24	inan	nonbase	1
rozměry	1	2	52	inan	nonbase	0
bytů	2	2	149	inan	nonbase	1
uživatel	2	2	42	anim	baseform	1
odběratel	2	2	34	anim	baseform	1
uživatelé	2	2	28	anim	nonbase	1
doplatku	1	2	1	inan	nonbase	0
dvory	0	2	3	inan	nonbase	0
přísunem	1	2	3	inan	nonbase	0
svátcích	0	2	11	inan	nonbase	0
sněhu	1	2	54	inan	nonbase	0
vchodu	1	2	22	inan	nonbase	0
objekt	0	2	64	inan	baseform	0
důvěrníka	2	2	3	anim	nonbase	1
výtahu	2	2	7	inan	nonbase	1
klíčů	2	2	12	inan	nonbase	1
zvonky	2	2	4	inan	nonbase	1
případy	2	2	119	inan	nonbase	1
stát	0	2	394	inan	baseform	0
nároků	1	2	26	inan	nonbase	0
vznik	2	2	105	inan	baseform	1
ekonoma	2	2	8	anim	nonbase	1
občany	2	2	114	anim	nonbase	1
stavy	0	2	57	inan	nonbase	0
projev	2	2	107	inan	baseform	1
kádru	0	2	21	inan	nonbase	0
soudruhem	2	2	9	anim	nonbase	1
odpisů	0	2	8	inan	nonbase	0
rozbor	2	2	48	inan	baseform	1
příkazy	0	2	5	inan	nonbase	0
limitu	1	2	18	inan	nonbase	0
učňů	2	2	25	anim	nonbase	1
nedostatků	1	2	23	inan	nonbase	0
úhrn	2	2	8	inan	baseform	1
koncem	1	2	275	inan	nonbase	0
sběračů	2	2	1	anim	nonbase	1
sběrač	2	2	1	anim	baseform	1
orgán	2	2	51	inan	baseform	1
sklady	2	2	13	inan	nonbase	1
