word	prediction	label
piko	2	2
juokelių	1	2
terminas	2	2
šalies	1	1
dalį	1	1
bendruomenei	2	1
automobiliais	1	2
transportui	1	2
bazių	2	1
pavojai	2	2
žmogumi	2	2
vakarėliuose	1	2
darbus	1	2
lapo	2	2
pašto	1	2
telefonu	2	2
mintys	1	1
kabiną	2	1
medžiotojų	1	2
šeimos	2	1
solistas	2	2
specialistu	2	2
karjeros	1	1
aplinka	1	1
veidus	2	2
langus	2	2
perėjimo	1	2
laiką	2	2
sostinės	1	1
mamą	2	1
vežimėlį	2	2
priežastimi	1	1
akcija	1	1
valdžia	1	1
planuotojai	2	2
akcijos	1	1
gatvės	1	1
stresą	2	2
pavasarį	1	2
takams	2	2
sezoną	1	2
finansų	1	2
padėtį	2	1
saugumą	1	2
ministrą	2	2
centras	1	2
išvados	1	1
kompetencijos	1	1
komentaras	1	2
nepriklausomybę	1	1
elektrinės	2	1
įkaite	2	1
pažeidimų	1	2
pažymėjimai	1	2
seimo	1	2
sankcijas	1	1
priėmimas	1	2
logistika	1	1
sandėlyje	1	2
bendrovė	1	1
steigimo	1	2
viceministras	1	2
rajono	2	2
biudžeto	1	2
parlamentaro	1	2
avariją	1	1
lietaus	2	2
jaunimo	2	2
pinigus	2	2
senumo	1	2
projektui	2	2
lėšų	1	1
planavimo	1	2
parama	2	1
būklei	1	1
problemų	1	1
bendruomenės	2	1
pagrindą	2	2
turnyre	2	2
turnyro	1	2
ryšiams	2	2
kūrimo	1	2
pardavimo	1	2
dienomis	1	1
pavaduotojas	2	2
nuotaikos	1	1
gamintojui	1	2
produktų	1	2
saiką	1	2
agitacijai	1	1
dienraštį	2	2
medžiagą	1	1
kampaniją	2	1
tvarka	1	1
kandidatai	2	2
rinkėjais	2	2
laidoje	2	1
žurnalistų	2	2
idėjos	1	1
suma	1	1
savanorio	2	2
gruodį	1	2
prielaida	1	1
šūkį	2	2
kolegoms	2	2
būtybėmis	2	1
kursas	1	2
kartos	1	1
laikai	2	2
etiketę	1	1
mediciną	1	1
daktaras	1	2
gydymo	1	2
velnias	1	2
pagarba	1	1
įsakymas	1	2
gegužės	1	1
pažymos	1	1
mokėjimo	1	2
rajonų	1	2
mėšlo	1	2
punkto	1	2
atstovais	2	2
tarnybų	2	1
peržiūra	1	1
mokslininkai	2	2
inovacijos	1	1
išteklių	1	2
priemonės	1	1
narės	2	1
konkurentų	1	2
gaires	1	1
rinką	1	1
įgūdžių	1	2
valstybėms	1	1
kompetencija	1	1
strategiją	1	1
priemonė	1	1
intensyvumo	1	2
aspektai	1	2
paraiškos	1	1
reguliavimą	1	2
sistemos	1	1
aktuose	1	2
požiūriu	2	2
patvirtinimo	1	2
kūrėjus	2	2
užtikrinimas	1	2
institutų	1	2
partnerysčių	1	1
atstovus	2	2
mokymąsi	1	2
biudžetas	2	2
pajėgumus	1	2
miškininkystės	1	1
fondus	1	2
mokymuisi	2	2
uždavinys	1	2
sveikatai	2	1
gyvenimui	1	2
partneriams	2	2
galios	1	1
rizikai	2	1
kūrimu	1	2
tobulinimų	1	2
patento	2	2
produktams	1	2
poreikių	1	2
susiskaldymą	2	2
principais	1	2
konvergencijos	1	1
veiksmingumo	1	2
struktūras	1	1
vystymosi	1	2
migrena	1	1
gydymui	2	2
bėrimas	1	2
pakaušio	1	2
vandens	1	2
komplekse	1	2
sekretorius	2	2
ambasadoje	2	1
pilietis	2	2
dydžių	1	2
jausmo	2	2
gatvėse	1	1
salėse	1	1
savaitgalį	2	2
automobilis	2	2
narė	1	1
vasaros	2	1
architektų	1	2
arenos	1	1
šeimų	1	1
didžiūnų	2	2
buitį	1	1
šuns	2	2
rotušės	1	1
tvarką	1	1
demonstracija	1	1
vidurdienį	1	2
drauge	2	1
pasirodymą	1	2
renginio	2	2
maršrutus	1	2
liekanų	1	1
maršrutą	1	2
metimų	1	2
šeimininkių	1	1
tikslo	1	2
vaistinė	1	1
jaunuoliai	2	2
aparato	1	2
užpuolikams	2	2
vakaro	1	2
teritorijose	2	1
kirpykla	1	1
krautuvę	1	1
eilėse	1	1
bakus	2	2
žodžiai	2	2
mokytoja	1	1
šeštadienis	1	2
plaukais	1	2
verpetą	1	2
laikraščiu	1	2
mašinėlės	1	1
naujieną	2	1
rublius	2	2
eilės	2	1
muilo	2	2
savaitės	2	1
vardą	2	2
echinokokozė	1	1
profilaktikos	1	1
atvejo	1	2
infekcijos	1	1
susirgimo	1	2
išmatomis	1	1
registracija	1	1
sode	2	2
sukėlėjai	2	2
daržoves	2	1
marmuru	1	2
traukinio	1	2
herojams	2	2
rudenį	1	2
televizorių	2	2
organų	1	2
dievas	2	2
laukus	2	2
kaklo	1	2
valdžioje	1	1
semaforai	2	2
paminklo	1	2
draugyste	2	1
apranga	1	1
patiekalus	1	2
šeimyna	1	1
būrelis	2	2
cukrų	2	2
žąsį	2	1
karpį	2	2
gimimą	1	2
atvirukų	1	2
aliejai	1	2
teatrą	2	2
namuos	2	2
sprendimas	2	2
kvietimą	1	2
šviestuvų	1	2
laikotarpiui	1	2
zonos	1	1
tekstile	1	1
indais	1	2
grožį	1	2
noras	1	2
numerį	1	2
kartų	2	2
petražolių	1	1
žymių	1	1
pirmadienio	1	2
miegas	1	2
harmonijos	1	1
stebuklą	2	2
drabužiais	1	2
draugų	2	2
konkursą	2	2
kodas	2	2
žemę	1	1
sijono	1	2
himną	2	2
sociologai	2	2
priešas	2	2
uždegimui	1	2
scenos	1	1
situacijose	1	1
romanas	2	2
priežastį	1	1
šventei	2	1
repertuaras	1	2
puošybos	1	1
protestuotojai	2	2
parlamentas	2	2
krizė	1	1
aprašo	1	2
vykdytojas	2	2
viešumo	1	2
atlyginimai	2	2
pagrindai	1	2
žurnale	2	2
laukas	2	2
faktų	1	2
gyvenimas	1	2
konstrukciją	1	1
daugumai	1	1
dėstymas	1	2
kortelių	1	1
makaronų	1	2
istorijoje	1	1
dominavimu	1	2
statuso	1	2
paskelbimas	1	2
atstatymas	1	2
aplinkybes	1	1
lietuvių	1	2
noro	1	2
kolaboravimas	1	2
armijos	1	1
pora	2	1
radikalai	1	2
bruožai	1	2
liudininkų	2	2
jūroje	1	1
vadovėlyje	1	2
konferencijoje	1	1
pavyzdžiu	2	2
pakėlimo	1	2
žurnalisto	2	2
orbitoje	1	1
paniką	1	1
sienų	2	1
ukrainiečių	2	2
turistai	2	2
vienuolių	2	2
unitams	2	2
unitus	2	2
caro	2	2
