word	prediction	label
irreverência	1	1
solidariedade	1	1
audiência	2	1
empresas	2	1
educação	1	1
homem	2	2
concessionária	2	1
comparação	2	1
dado	1	2
projetos	2	2
c	2	2
tarefa	1	1
saladas	2	1
cartões	2	2
roupas	1	1
efeito	2	2
bola	1	1
adaptação	1	1
projeto	2	2
garantias	1	1
juros	2	2
soldados	2	2
acordo	2	2
local	2	2
torcedores	2	2
golfinho	2	2
impostos	2	2
vista	2	1
ministro	2	2
respiração	1	1
programa	1	2
relatório	1	2
tribunal	2	2
tomada	1	1
emergência	1	1
empate	1	2
editor	2	2
lojistas	2	2
marca	2	1
jogador	2	2
perseguição	1	1
casal	1	2
deputados	2	2
nome	2	2
fazenda	2	1
chegada	1	1
interpretação	1	1
repetição	1	1
opções	2	1
pesquisas	1	1
objeto	2	2
tarde	2	1
quadrangular	2	2
pista	1	1
encontro	1	2
formato	2	2
estabilização	1	1
impressão	1	1
ricos	2	2
espreguiçadeiras	2	1
investida	1	1
tocos	2	2
amigo	2	2
racionamento	1	2
usuário	2	2
comportamento	1	2
ruptura	1	1
contemporização	2	1
auréola	2	2
entrada	1	1
bar	2	2
irmão	2	2
apelo	2	2
século	2	2
perfil	2	2
compulsão	1	1
relatividade	1	1
hipótese	2	1
quadrilha	2	1
ataques	2	2
opinião	2	1
nordeste	1	2
substituição	1	1
delegados	2	2
pai	1	2
passagens	2	1
menina	1	1
álbum	1	2
emprego	1	2
conflitos	1	2
flutuação	1	1
conflito	1	2
pisada	2	1
cabeça	2	1
mastectomia	1	1
tema	1	2
custos	2	2
bordo	2	2
breque	2	2
proprietários	2	2
economia	1	1
cotações	2	1
acidente	2	2
comemoração	1	1
homenagem	2	1
captação	1	1
aniversário	1	2
sorte	1	1
leque	2	2
aço	2	2
fase	1	1
inflação	2	1
atendentes	1	2
dívida	2	1
tv	1	1
nativos	2	2
patologistas	2	2
porte	2	2
ferro	2	2
governador	2	2
confecção	1	1
ônibus	2	2
eurodeputado	2	2
pedra	2	1
suspeitas	1	1
azeite	2	2
gramas	2	2
palavras	1	1
passos	2	2
quebras	1	1
gestão	1	1
disparos	1	2
arcebispado	1	2
tratamento	1	2
elenco	2	2
contos	2	2
leste	1	2
paz	1	1
objectiva	2	1
centrista	2	2
arredores	2	2
notícias	1	1
fachada	2	1
visitante	2	2
maquinistas	2	2
superfície	2	1
esforço	2	2
humor	2	2
empresários	2	2
samurai	2	1
crises	1	1
chão	2	2
eleitor	2	2
inquérito	1	2
engenharia	1	1
culturas	1	1
mala	2	1
jovens	2	2
primo	2	2
desvio	1	2
risco	2	2
bolsas	1	1
corporação	2	1
sex	1	2
paulistano	2	2
vereadora	1	1
gripe	1	1
alunos	2	2
empregados	2	2
cineasta	1	2
partidos	2	2
paladar	2	2
existência	2	1
astronomia	1	1
cronograma	2	2
vilões	2	2
fita	1	1
dólar	2	2
regras	2	1
equilíbrio	1	2
elementos	2	2
negociação	1	1
reflexão	1	1
acionista	2	1
indústrias	1	1
hospitalidade	1	1
esgotamento	1	2
tombamento	1	2
moradores	2	2
escola	1	1
exterior	2	2
estética	2	1
concessões	1	1
terras	1	1
fotógrafo	2	2
autoridade	1	1
fauna	2	1
organismos	1	2
computadores	2	2
comitiva	2	1
espaços	2	2
diagnóstico	1	2
responsável	2	2
travão	2	1
aviadores	2	2
advogado	2	2
pés	2	2
concepção	1	1
centrais	1	1
regionais	1	1
pensamento	2	2
verba	1	1
adiamento	1	2
insuficiências	1	1
proximidade	1	1
religiosos	2	2
viragem	2	1
polémica	1	1
acto	2	2
auge	2	2
veleiro	2	2
rebocador	2	2
cabines	2	1
comunicação	1	1
sintomas	2	1
estrada	2	1
combustíveis	2	2
sacos	1	2
acção	1	1
mentira	1	1
concretização	1	1
responsabilidades	1	1
roubo	2	2
fecho	2	2
supercomputador	2	2
alvos	2	2
aviso	1	2
curiosidade	2	1
possibilidades	1	1
aventura	2	1
objectivo	2	2
árbitros	2	2
bandeira	1	1
cosmopolita	1	2
geógrafas	1	1
indivíduos	2	2
culto	2	2
procuração	1	1
televisões	1	1
alemães	2	2
reactores	2	2
beijinhos	1	2
rotina	1	1
vestígios	2	2
leitura	1	1
bilhetes	1	2
repórter	1	2
infinito	2	2
continuação	1	1
metada	1	1
bodes	2	2
constrangimentos	1	2
soluções	1	1
lastro	2	1
ressurgimento	2	2
sessão	1	1
júri	2	2
tímpanos	2	2
peito	2	2
junta	1	1
diamantes	2	2
saída	1	1
festas	1	1
limite	2	2
dupla	2	1
acolhimento	1	2
comendador	2	2
chamas	1	1
considerações	1	1
intervalos	2	2
volvo	2	2
equívocos	1	2
estreia	1	1
vivo	2	2
carrinha	1	1
fornos	2	2
parceiros	2	2
pintura	1	1
touros	2	2
episódios	2	2
parlamentos	1	2
optimismo	2	2
favoritas	1	1
rival	2	1
inferno	2	2
biscates	1	2
deserto	2	2
arquipélago	2	2
fresco	2	2
cimento	2	2
seguir	1	2
lógica	2	1
prostituição	1	1
artes	1	1
erro	1	2
raptores	2	2
delinquentes	2	2
descoberta	1	1
delator	2	2
remorso	2	2
argumentação	2	1
reduções	2	1
cia	1	1
poluição	1	1
vias	2	1
sofrimento	1	2
docentes	2	2
multidão	2	1
editores	2	2
filmagens	1	1
arraiais	2	2
interiores	2	2
afirmação	1	1
conceito	2	2
reinvenção	2	1
maior	2	2
baixos	1	2
ficheiros	2	2
golos	2	2
agregação	1	1
excedente	2	2
s	1	2
performances	1	1
exiguidade	2	1
eucaliptal	2	2
macrocefalia	2	1
checoslovaco	2	2
australiano	2	2
esqueleto	2	2
bolsa	1	1
domínio	2	2
individualidade	1	1
intuito	2	2
práticas	1	1
hebraico	2	2
circulação	1	1
insinuações	1	1
conselheiro	2	2
prodígio	1	2
primeiro	2	2
contributo	2	2
garantia	1	1
imediato	2	2
provedor	2	2
rapidez	2	1
afluxo	2	2
cantaria	2	1
vergonha	1	1
colecção	2	1
bandolim	2	2
poema	2	2
formações	2	1
costureira	1	1
pêlo	2	2
estreito	2	2
faces	1	1
colina	2	1
comoção	1	1
extracto	2	2
à	1	2
binóculos	2	2
obscuridade	2	1
licenciatura	1	1
pedras	1	1
alcáçova	2	1
proveito	1	2
velocidades	2	1
chantagem	1	1
causador	2	2
fabrico	2	2
multidões	1	1
happening	1	2
entrega	1	1
injecção	2	1
heptatlo	2	2
observação	2	1
fibras	2	1
repartição	1	1
doutrina	1	1
vila	1	1
sandes	1	1
pressas	1	1
subconsciente	2	2
termo	2	2
acumulação	2	1
macaquinho	1	2
caserna	1	1
amador	2	2
harmonia	1	1
ensinamentos	2	2
roturas	1	1
medicamentos	2	2
licenças	2	1
rocha	2	1
esboços	1	2
esbirros	2	2
bibliotecas	1	1
cardeal	2	2
suspeita	1	1
livraria	1	1
gratidão	1	1
alçada	1	1
repartições	1	1
conjuntos	2	2
mangas	2	1
ferrovias	2	1
pausa	1	1
credenciais	2	1
métodos	1	2
panfletos	1	2
nata	1	1
ouvido	2	2
mastros	2	2
gelo	2	2
cicatriz	2	1
relator	2	2
incidentes	1	2
mascote	2	2
vinicultores	2	2
morcego	2	2
desconto	2	2
institucionalização	1	1
oferta	2	1
campeonatos	2	2
populações	1	1
indisciplina	1	1
associações	1	1
simplicidades	1	1
incapacidade	1	1
precedentes	2	2
essência	2	1
metragens	1	1
documentários	1	2
comentários	2	2
remix	1	1
vinil	2	2
tese	1	1
angústia	1	1
oradores	2	2
cooperativas	1	1
janelas	2	1
máquina	2	1
lavagem	1	1
gritos	1	2
somalis	1	2
órbita	2	1
debilidade	1	1
timbre	2	2
automobilistas	2	2
terrorismo	1	2
pala	1	1
névoa	2	1
forragem	2	1
general	2	2
colombiano	2	2
eliminatória	1	1
telegrama	1	2
turnos	2	2
tensão	1	1
extração	1	1
marginalizados	1	2
cinzas	2	1
grades	1	1
gorros	2	2
interrogações	1	1
contrapartidas	2	1
ignorância	1	1
braseiro	2	2
retoma	2	1
